Date,Open,High,Low,Close,Adj Close,Volume
7/2/2021,0.132127,0.154213,0.129556,0.147713,0.147713,36779298
7/3/2021,0.1479,0.1641,0.144393,0.162103,0.162103,35202777
7/4/2021,0.163089,0.183879,0.153754,0.169998,0.169998,45057772
7/5/2021,0.169618,0.169618,0.152332,0.16292,0.16292,26391024
7/6/2021,0.162611,0.199446,0.162611,0.187307,0.187307,43228410
7/7/2021,0.187814,0.246876,0.186307,0.203427,0.203427,79003095
7/8/2021,0.204442,0.234196,0.178304,0.202581,0.202581,55431512
7/9/2021,0.202182,0.25366,0.191083,0.25051,0.25051,74983882
7/10/2021,0.251627,0.256936,0.231011,0.244119,0.244119,53800562
7/11/2021,0.2438,0.260063,0.23177,0.258764,0.258764,39295059
7/12/2021,0.258859,0.319259,0.258859,0.316097,0.316097,109576491
7/13/2021,0.315493,0.408798,0.302506,0.346213,0.346213,298300365
7/14/2021,0.345866,0.388569,0.290768,0.33242,0.33242,208381141
7/15/2021,0.331844,0.382774,0.298898,0.307607,0.307607,146858276
7/16/2021,0.307503,0.321496,0.232569,0.253702,0.253702,135557518
7/17/2021,0.252397,0.307127,0.241327,0.267651,0.267651,141004113
7/18/2021,0.267649,0.287502,0.257472,0.270279,0.270279,63131042
7/19/2021,0.270766,0.271962,0.23664,0.252932,0.252932,46669489
7/20/2021,0.252439,0.292121,0.215682,0.282887,0.282887,109193060
7/21/2021,0.283485,0.34496,0.270061,0.335989,0.335989,171740843
7/22/2021,0.336287,0.354471,0.272064,0.280565,0.280565,202353908
7/23/2021,0.279468,0.348346,0.267696,0.335501,0.335501,302230838
7/24/2021,0.334211,0.338799,0.291053,0.303614,0.303614,202306826
7/25/2021,0.303616,0.307998,0.271985,0.282943,0.282943,128916045
7/26/2021,0.28255,0.296341,0.256563,0.264841,0.264841,103767609
7/27/2021,0.264372,0.317947,0.244668,0.285535,0.285535,171123889
7/28/2021,0.285833,0.285833,0.26185,0.265124,0.265124,85259394
7/29/2021,0.265032,0.26622,0.248818,0.255997,0.255997,89373279
7/30/2021,0.256078,0.257077,0.224693,0.241195,0.241195,100092523
7/31/2021,0.241072,0.243036,0.228021,0.22939,0.22939,92395271
8/1/2021,0.229167,0.230284,0.204559,0.207972,0.207972,106006429
8/2/2021,0.208079,0.232227,0.206146,0.216624,0.216624,118586188
8/3/2021,0.216417,0.220673,0.203196,0.207563,0.207563,71611365
8/4/2021,0.208066,0.219481,0.204737,0.215711,0.215711,84690125
8/5/2021,0.215818,0.216727,0.193031,0.200216,0.200216,99425398
8/6/2021,0.20022,0.200621,0.181288,0.181564,0.181564,110211700
8/7/2021,0.180382,0.188403,0.172178,0.177385,0.177385,145491848
8/8/2021,0.177572,0.202157,0.173042,0.18603,0.18603,168359515
8/9/2021,0.187038,0.226928,0.167651,0.207724,0.207724,335148401
8/10/2021,0.206534,0.214994,0.195752,0.202658,0.202658,178322868
8/11/2021,0.202764,0.220228,0.200683,0.202205,0.202205,202913199
8/12/2021,0.202308,0.204368,0.180084,0.18991,0.18991,112511860
8/13/2021,0.190303,0.194754,0.18494,0.191332,0.191332,82177528
8/14/2021,0.191448,0.191448,0.176602,0.179833,0.179833,93857968
8/15/2021,0.179708,0.185901,0.169819,0.176607,0.176607,128834117
8/16/2021,0.176611,0.185786,0.171783,0.173371,0.173371,130611851
8/17/2021,0.173077,0.179466,0.15724,0.160934,0.160934,116810932
8/18/2021,0.160935,0.163933,0.153553,0.157596,0.157596,91343684
8/19/2021,0.157279,0.177023,0.153983,0.174749,0.174749,150737315
8/20/2021,0.174845,0.178353,0.162803,0.167391,0.167391,144568984
8/21/2021,0.167114,0.168641,0.158153,0.15889,0.15889,119610024
8/22/2021,0.158809,0.161754,0.150058,0.154236,0.154236,103635027
8/23/2021,0.154237,0.160168,0.151726,0.155223,0.155223,115306376
8/24/2021,0.155523,0.15632,0.133009,0.139756,0.139756,118573504
8/25/2021,0.139539,0.168234,0.128439,0.159745,0.159745,264872749
8/26/2021,0.160044,0.16175,0.138734,0.142562,0.142562,156987576
8/27/2021,0.141668,0.150693,0.132155,0.145767,0.145767,117923912
8/28/2021,0.146351,0.146644,0.138138,0.139385,0.139385,91231473
8/29/2021,0.139191,0.140881,0.132639,0.136666,0.136666,100406431
8/30/2021,0.136472,0.138443,0.123878,0.124773,0.124773,112334750
8/31/2021,0.124976,0.127547,0.111523,0.113474,0.113474,134096419
9/1/2021,0.11376,0.127167,0.107942,0.120845,0.120845,181539583
9/2/2021,0.120642,0.144265,0.118058,0.13866,0.13866,380581908
9/3/2021,0.13874,0.149514,0.12753,0.12903,0.12903,291737213
9/4/2021,0.129626,0.134438,0.122981,0.125763,0.125763,181839895
9/5/2021,0.126042,0.127561,0.118531,0.119839,0.119839,138265848
9/6/2021,0.119833,0.122743,0.11544,0.116088,0.116088,134111514
9/7/2021,0.115993,0.12544,0.081392,0.095166,0.095166,271373044
9/8/2021,0.095348,0.107106,0.084722,0.098716,0.098716,156410544
9/9/2021,0.097532,0.105108,0.095144,0.098413,0.098413,120931078
9/10/2021,0.098414,0.10025,0.086524,0.087723,0.087723,96718497
9/11/2021,0.088025,0.094507,0.08514,0.088092,0.088092,96591346
9/12/2021,0.087987,0.090725,0.084854,0.086576,0.086576,82783216
9/13/2021,0.086581,0.087162,0.076724,0.08034,0.08034,114801053
9/14/2021,0.080429,0.08344,0.078836,0.081048,0.081048,83250308
9/15/2021,0.081141,0.099051,0.079458,0.098021,0.098021,312578863
9/16/2021,0.097139,0.097436,0.083036,0.087434,0.087434,172295372
9/17/2021,0.087444,0.08984,0.080346,0.08147,0.08147,108002656
9/18/2021,0.081375,0.087316,0.080481,0.08146,0.08146,113701528
9/19/2021,0.081555,0.081555,0.075146,0.075826,0.075826,90648300
9/20/2021,0.075736,0.076325,0.062317,0.062908,0.062908,139175110
9/21/2021,0.063595,0.066903,0.0553,0.058206,0.058206,113337473
9/22/2021,0.058104,0.06574,0.056909,0.063705,0.063705,100748737
9/23/2021,0.063704,0.093094,0.06162,0.082342,0.082342,568397473
9/24/2021,0.082539,0.093653,0.068947,0.07426,0.07426,341286383
9/25/2021,0.074259,0.074657,0.068273,0.069269,0.069269,104423193
9/26/2021,0.069367,0.06956,0.059853,0.066249,0.066249,130942608
9/27/2021,0.066446,0.075021,0.06515,0.068837,0.068837,161224808
9/28/2021,0.068737,0.071926,0.06273,0.063331,0.063331,109998755
9/29/2021,0.063621,0.067537,0.062001,0.063319,0.063319,183339686
9/30/2021,0.063316,0.065795,0.061697,0.06261,0.06261,214363305
10/1/2021,0.062707,0.077919,0.060897,0.075506,0.075506,632081626
10/2/2021,0.075413,0.075413,0.068023,0.070733,0.070733,440039570
10/3/2021,0.070622,0.076315,0.068628,0.076216,0.076216,467448454
10/4/2021,0.076309,0.102418,0.073422,0.094789,0.094789,1784971953
10/5/2021,0.095281,0.096082,0.081068,0.086737,0.086737,926630169
10/6/2021,0.086536,0.088899,0.077971,0.081937,0.081937,694220324
10/7/2021,0.082028,0.094105,0.078534,0.08823,0.08823,754830127
10/8/2021,0.087934,0.093422,0.084636,0.086306,0.086306,460426515
10/9/2021,0.086212,0.086212,0.081617,0.082919,0.082919,328092877
