Date,Open,High,Low,Close,Adj Close,Volume
2/27/2022,1.240154,1.520021,1.185141,1.303292,1.303292,23156786
2/28/2022,1.302284,1.353203,1.253851,1.351125,1.351125,14646384
3/1/2022,1.351577,1.385333,1.264025,1.284798,1.284798,10518820
3/2/2022,1.285352,1.313886,1.245679,1.268612,1.268612,9446343
3/3/2022,1.269064,1.316059,1.218819,1.248253,1.248253,10764790
3/4/2022,1.248387,1.299014,1.148388,1.166266,1.166266,9547943
3/5/2022,1.166304,1.262547,1.155254,1.227195,1.227195,8299815
3/6/2022,1.227123,1.242614,1.080827,1.100129,1.100129,7801305
3/7/2022,1.100071,1.27707,1.019089,1.131369,1.131369,16507548
3/8/2022,1.131521,1.374219,1.131521,1.173071,1.173071,24336815
3/9/2022,1.173508,1.332305,1.173508,1.220429,1.220429,12155889
3/10/2022,1.220326,1.225347,1.108394,1.126433,1.126433,8633371
3/11/2022,1.125998,1.133166,1.054793,1.066126,1.066126,7769105
3/12/2022,1.066159,1.119119,1.066159,1.067777,1.067777,5635523
3/13/2022,1.067767,1.086668,1.03725,1.046054,1.046054,5010201
3/14/2022,1.046275,1.070611,0.995916,1.041317,1.041317,5986584
3/15/2022,1.041276,1.049839,1.005742,1.023943,1.023943,5974131
3/16/2022,1.023931,1.084054,1.019894,1.078097,1.078097,7063078
3/17/2022,1.078107,1.08287,1.049949,1.056287,1.056287,6118198
3/18/2022,1.056294,1.062862,1.01784,1.049905,1.049905,6388193
3/19/2022,1.049874,1.245284,1.049143,1.20828,1.20828,13976630
3/20/2022,1.208929,1.246136,1.110566,1.118639,1.118639,12761661
3/21/2022,1.118471,1.134583,1.092797,1.115023,1.115023,8075881
3/22/2022,1.114985,1.368244,1.100439,1.305582,1.305582,19926243
3/23/2022,1.305548,1.375683,1.198628,1.362625,1.362625,13247437
3/24/2022,1.362853,1.736061,1.362853,1.560427,1.560427,29789892
3/25/2022,1.560493,1.569199,1.372182,1.411076,1.411076,13655806
3/26/2022,1.411045,1.535107,1.403298,1.418073,1.418073,7181952
3/27/2022,1.417913,1.500932,1.393638,1.493755,1.493755,5554394
3/28/2022,1.497252,1.533363,1.391865,1.391865,1.391865,8880265
3/29/2022,1.392312,1.510404,1.392312,1.491276,1.491276,6322346
3/30/2022,1.490771,1.593419,1.408658,1.517183,1.517183,8242037
3/31/2022,1.517227,1.645941,1.391995,1.403482,1.403482,13292217
4/1/2022,1.403258,1.642539,1.355771,1.642539,1.642539,24160579
4/2/2022,1.641792,1.821911,1.601843,1.60698,1.60698,27148828
4/3/2022,1.607572,1.69823,1.576041,1.646775,1.646775,15904697
4/4/2022,1.646633,1.686531,1.467295,1.551624,1.551624,16747639
4/5/2022,1.551598,1.578251,1.456024,1.456554,1.456554,8900860
4/6/2022,1.456708,1.46,1.28411,1.284135,1.284135,10208460
4/7/2022,1.284165,1.314467,1.240956,1.300851,1.300851,9656847
4/8/2022,1.300417,1.326882,1.218679,1.239059,1.239059,9641809
4/9/2022,1.239002,1.28192,1.226049,1.276367,1.276367,4301302
4/10/2022,1.277441,1.304242,1.217832,1.217832,1.217832,5122930
4/11/2022,1.21677,1.21677,1.044058,1.048199,1.048199,7433356
4/12/2022,1.04833,1.127182,1.044469,1.085666,1.085666,8195327
4/13/2022,1.084332,1.117357,1.073754,1.103489,1.103489,3995701
4/14/2022,1.103549,1.127934,1.063881,1.077025,1.077025,3620546
4/15/2022,1.077436,1.115448,1.072706,1.099981,1.099981,2669048
4/16/2022,1.099954,1.111048,1.075108,1.093857,1.093857,2452780
4/17/2022,1.093889,1.096212,1.038996,1.038996,1.038996,2325824
4/18/2022,1.038268,1.076306,0.996948,1.059197,1.059197,5348019
4/19/2022,1.059577,1.126897,1.058893,1.12173,1.12173,4321317
4/20/2022,1.121745,1.201658,1.099575,1.104257,1.104257,8555203
4/21/2022,1.10388,1.181215,1.036396,1.064904,1.064904,5637535
4/22/2022,1.064855,1.093703,1.036256,1.058535,1.058535,5613198
4/23/2022,1.058511,1.065979,1.034311,1.036943,1.036943,3057874
4/24/2022,1.036535,1.055465,1.020343,1.032394,1.032394,5993480
4/25/2022,1.032832,1.037035,0.939129,1.025703,1.025703,6013937
4/26/2022,1.025708,1.034437,0.915868,0.934863,0.934863,4701039
4/27/2022,0.934732,0.963436,0.925964,0.940574,0.940574,6054248
4/28/2022,0.940442,0.992413,0.933944,0.947311,0.947311,5122595
4/29/2022,0.946685,0.954374,0.812972,0.832169,0.832169,6311573
4/30/2022,0.832288,0.844338,0.664554,0.69868,0.69868,6667763
5/1/2022,0.698468,0.743137,0.692574,0.734087,0.734087,7499130
5/2/2022,0.733602,0.76356,0.706476,0.731879,0.731879,7119545
5/3/2022,0.73187,0.800135,0.726549,0.745432,0.745432,7202589
5/4/2022,0.745741,0.831852,0.745254,0.813672,0.813672,6500631
